,0,1,2
256,Greg Brannon,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
257,Greg Brannon,"United States Senate election in North Carolina, 2014","The 2014 United States Senate election in North Carolina took place on November 4, 2014, to elect a member of the United States Senate to represent the State of North Carolina, concurrently with other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
258,Paul Wright,1997 Scottish Cup Final,"The 1997 Scottish Cup Final was the 112th final of the Scottish Cup, Scottish football's most prestigious knockout association football competition. "
259,Paul Wright,1994 American Professional Soccer League,Statistics of American Professional Soccer League in season 1994.
260,Paul Wright,2000–01 Scottish Cup,"The 2000–01 Scottish Cup was the 116th staging of Scotland's most prestigious football knockout competition, also known for sponsorship reasons as the Tennent's Scottish Cup. The Cup was won by Celtic who defeated Hibernian in the final."
261,Deborah Ross,"North Carolina House of Representatives election, 2002","The North Carolina House of Representatives election of 2002 was held on 5 November 2002 as part of the biennial election to the General Assembly. All 120 seats in the North Carolina House of Representatives were elected.
"
262,Chris Rey,Souled Out (1998),"Souled Out (1998) was the second Souled Out professional wrestling pay-per-view event produced by World Championship Wrestling and sponsored by Snickers. The event took place on January 24, 1998 from the Hara Arena in Trotwood, Ohio. "
263,Chris Rey,Royal Rumble (2006),Royal Rumble (2006) was the nineteenth annual Royal Rumble professional wrestling pay-per-view event produced by World Wrestling Entertainment. It was presented by Sony Computer Entertainment's The Con. 
264,Chris Rey,Royal Rumble (2010),Royal Rumble (2010) was the twenty-third annual Royal Rumble professional wrestling pay-per-view event produced by World Wrestling Entertainment. 
265,John Hoeven,"North Dakota gubernatorial election, 2000",The 2000 North Dakota gubernatorial election took place on 7 November 2000 for the post of Governor of North Dakota. Incumbent Republican Governor Ed Schafer decided not to run for reelection. Republican nominee John Hoeven won the election. 
266,John Hoeven,"North Dakota gubernatorial election, 2008","The 2008 North Dakota gubernatorial election took place on 4 November 2008 for the post of Governor of North Dakota. Incumbent Republican Governor John Hoeven was easily reelected again, defeating Democrat Tim Mathern. "
267,John Hoeven,"United States Senate election in North Dakota, 2016","The 2016 United States Senate election in North Dakota was held November 8, 2016, to elect a member of the United States Senate to represent the State of North Dakota, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
268,Eliot Glassheim,"United States Senate election in North Dakota, 2016","The 2016 United States Senate election in North Dakota was held November 8, 2016, to elect a member of the United States Senate to represent the State of North Dakota, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
269,Eliot Glassheim,"North Dakota elections, 2016","North Dakota held two statewide elections in 2016: a primary election on Tuesday, June 14, and a general election on Tuesday, November 8. "
270,Eliot Glassheim,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
271,Robert Marquette,"Quebec parliamentary election, 2018","The 42nd Quebec general election was held on October 1, 2018, to elect members to the National Assembly of Quebec. The Coalition Avenir Québec led by François Legault won 74 of 125 seats, giving the party a majority and unseating the Quebec Liberal Party, who became opposition party with 32 seats. "
272,Robert Marquette,"Quebec general election, 2014","The 41st Quebec general election was held on April 7, 2014 to elect members to the National Assembly of Quebec."
273,Rob Portman,"United States Senate election in Ohio, 2016","The 2016 United States Senate election in Ohio was held November 8, 2016, to elect a member of the United States Senate to represent the State of Ohio, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
274,Rob Portman,"United States Senate election in Ohio, 2010","The 2010 United States Senate election in Ohio was held on November 2, 2010, as one of many Ohio elections in 2010. Incumbent two-term Republican U.S. Senator George Voinovich decided to retire instead of seeking a third term. Republican Rob Portman won the open seat."
275,Don Elijah Eckhart,"United States House of Representatives elections in Ohio, 2008","The 2008 congressional elections in Ohio were held on November 4, 2008 and determined who will represent the state of Ohio in the United States House of Representatives. The primary election was held on March 4, 2008.
"
276,Don Elijah Eckhart,"United States House of Representatives elections, 2008","The 2008 United States House of Representatives elections were held on November 4, 2008, to elect members to the United States House of Representatives to serve in the 111th United States Congress from January 3, 2009, until January 3, 2011. "
277,Ted Strickland,"Ohio gubernatorial election, 2010","The 2010 Ohio gubernatorial election took place on November 2, 2010. Incumbent Democratic Governor of Ohio Ted Strickland ran for re-election to a second term as governor and was opposed by former United States Congressman John Kasich; both Strickland and Kasich won their respective primaries uncontested. "
278,Ted Strickland,"Ohio gubernatorial election, 2002","The 2002 Ohio gubernatorial election took place on November 5, 2002. Incumbent Republican Governor of Ohio Bob Taft ran for re-election to a second and final term as governor, and he was opposed by Democratic nominee Tim Hagan, a former Cuyahoga County Commissioner. "
279,Ted Strickland,"United States Senate election in Ohio, 2016","The 2016 United States Senate election in Ohio was held November 8, 2016, to elect a member of the United States Senate to represent the State of Ohio, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
280,P.G. Sittenfeld,"Ohio gubernatorial election, 2018","The 2018 Ohio gubernatorial election will take place on November 6, 2018, to elect the next Governor of Ohio, concurrently with the election of Ohio's Class I U.S. "
281,P.G. Sittenfeld,"United States Senate election in Ohio, 2016","The 2016 United States Senate election in Ohio was held November 8, 2016, to elect a member of the United States Senate to represent the State of Ohio, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
282,P.G. Sittenfeld,"Ohio's 8th congressional district special election, 2016","A special election to the United States House of Representatives for Ohio's 8th congressional district was held to determine the successor to John Boehner, who resigned his seat on October 31, 2015. "
283,Robert Murphy,2001 AFL Rising Star,The Ansett AFL Rising Star award is given annually to a stand out young player in the Australian Football League. The 2001 medal was won by St Kilda player Justin Koschitzke.
284,Ron Wyden,"United States Senate election in Oregon, 1998","The 1998 United States Senate election in Oregon was held on November 3, 1998. Incumbent Democratic U.S. Senator Ron Wyden won re-election to his first full term, defeating Republican nominee John Lim, a state senator."
285,Ron Wyden,"United States Senate election in Oregon, 2004","The 2004 United States Senate election in Oregon was held on November 2, 2004. Incumbent Democratic U.S. Senator Ron Wyden won re-election to a second full term."
286,Ron Wyden,"United States Senate special election in Oregon, 1996","The 1996 United States Senate special election in Oregon was held on January 30, 1996 to fill the seat vacated by Republican Bob Packwood, who had resigned from the Senate due to sexual misconduct allegations.
"
287,Paul Weaver,2006–07 Scottish Challenge Cup,"The 2006–07 Scottish Challenge Cup was the 16th season of the competition, competed for by all 30 members of the Scottish Football League.
"
288,Paul Weaver,2003 Football League Third Division play-off Final,"The 2003 Football League Third Division play-off Final was a football match played at the Millennium Stadium on 24 May 2003, to determine the fourth and final team to gain promotion from the Third Division to the Second Division of the Football League in the 2002–03 season. "
289,Paul Weaver,2006 National League Championship Series,"The 2006 National League Championship Series, the second round of the 2006 National League playoffs, began on October 12 and ended on October 19; it was scheduled to begin on October 11, but was postponed a day because of inclement weather. The St. "
290,Mark Callahan,"United States Senate election in Oregon, 2016","The 2016 United States Senate election in Oregon was held November 8, 2016, to elect a member of the United States Senate to represent the State of Oregon, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
291,Mark Callahan,"United States House of Representatives elections in Oregon, 2018","The 2018 United States House of Representatives elections in Oregon will be held on Tuesday, November 6, 2018, to elect the five U.S. Representatives from the U.S. state of Oregon; one from each of the state's five congressional districts. Primaries were held on May 15, 2018. The elections and primaries will coincide with the elections and primaries of other federal and state offices."
292,Mark Callahan,2012 Green National Convention,"The 2012 Green National Convention took place on July 12–15, 2012 in Baltimore, Maryland. The Annual National Meeting of the Green Party of the United States occurred at the University of Baltimore, with the Presidential Nominating Convention on July 14 being held at the Holiday Inn Inner Harbor."
293,Sam Carpenter,2010 St. Louis Cardinals season,"The St. Louis Cardinals' 2010 season was the 129th season for the franchise in St. Louis, Missouri and the 119th season in the National League. The Cardinals began their season on the road against the Cincinnati Reds on April 5. St. "
294,Steven Reynolds,"United States House of Representatives elections, 2012","The 2012 United States House of Representatives elections were held on Tuesday, November 6, 2012. It coincided with the reelection of President Barack Obama. "
295,Steven Reynolds,2016 Gold Derby Awards,"The 2016 Gold Derby Awards took place in July 26, 2016. The nominees were announced in June 2016."
296,Pat Toomey,"United States House of Representatives elections in Pennsylvania, 2002","The 2002 United States House elections in Pennsylvania was an election for Pennsylvania's delegation to the United States House of Representatives, which occurred as part of the general election of the House of Representatives on November 5, 2002.
"
297,Pat Toomey,"Pennsylvania state elections, 2004","Pennsylvania's state elections were held November 2, 2004. Necessary primary elections were held on April 27, 2004."
298,Pat Toomey,"Pennsylvania state elections, 2016","Pennsylvania's state elections were held on November 8, 2016. Necessary primary elections were held on April 26.
All 203 seats of the Pennsylvania House of Representatives, 25 seats of the Pennsylvania Senate, as well as the offices of Pennsylvania Treasurer, Pennsylvania Auditor General, and Pennsylvania Attorney General were up for election."
299,Katie McGinty,"Pennsylvania state elections, 2016","Pennsylvania's state elections were held on November 8, 2016. Necessary primary elections were held on April 26.
All 203 seats of the Pennsylvania House of Representatives, 25 seats of the Pennsylvania Senate, as well as the offices of Pennsylvania Treasurer, Pennsylvania Auditor General, and Pennsylvania Attorney General were up for election."
300,Katie McGinty,"United States Senate election in Pennsylvania, 2016","The 2016 United States Senate election in Pennsylvania took place on November 8, 2016, to elect a member of the United States Senate to represent the State of Pennsylvania, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in numerous other states and elections to the United States House of Representatives and various state and local elections. "
301,Joe Sestak,"Pennsylvania's 7th congressional district election, 2010","Pennsylvania 7th congressional district election, 2010 was an election held to determine who would represent Pennsylvania's 7th congressional district in the United States House of Representatives during the 112th Congress. "
302,Joe Sestak,"United States Senate election in Pennsylvania, 2016","The 2016 United States Senate election in Pennsylvania took place on November 8, 2016, to elect a member of the United States Senate to represent the State of Pennsylvania, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in numerous other states and elections to the United States House of Representatives and various state and local elections. "
303,Joe Sestak,"United States Senate elections, 2010","Elections to the United States Senate were held November 2, 2010 from among the United States Senate's 100 seats. A special election was held January 19, 2010 for a mid-term vacancy in Massachusetts. "
304,John Fetterman,"Pennsylvania gubernatorial election, 2018","The 2018 Pennsylvania gubernatorial election will take place on November 6, 2018, to elect the Governor and Lieutenant Governor of Pennsylvania, concurrently with the election of Pennsylvania's Class I U.S. "
305,John Fetterman,"United States House of Representatives elections in Pennsylvania, 2018","The 2018 United States House of Representatives elections in Pennsylvania will be held on November 6, 2018, to elect the 18 U.S. Representatives from the Commonwealth of Pennsylvania, one from each of the state's 18 congressional districts.
"
306,John Fetterman,"United States Senate election in Pennsylvania, 2018","The 2018 United States Senate election in Pennsylvania will take place on November 6, 2018, to elect a member of the United States Senate to represent the State of Pennsylvania, concurrently with other elections to the United States Senate, elections to the United States House of Representatives, and various state and local elections. "
307,Joseph Vodvarka,"United States Senate election in Pennsylvania, 2012","The 2012 United States Senate election in Pennsylvania was held on November 6, 2012, alongside a presidential election, other elections to the United States Senate in other states, as well as elections to the United States House of Representatives and various state and local elections. "
308,Misty K. Snow,"United States Senate election in Utah, 2016","The 2016 United States Senate election in Utah took place on November 8, 2016, to elect a member of the United States Senate to represent the State of Utah, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
309,Misty K. Snow,"United States House of Representatives elections in Utah, 2018","The 2018 United States House of Representatives elections in Utah will be held on November 6, 2018, to elect the four U.S. Representatives from the state of Utah, one from each of the state's four congressional districts. "
310,Misty K. Snow,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
311,Jonathan Swinton,Rock (Nominees) Ltd v RCO Holdings Ltd,Rock Nominees Ltd v RCO plc [2004] EWCA Civ 118 is a UK company law case dealing with unfair prejudice under s.459 Companies Act 1985. It was decided at first instance by Peter Smith J.
312,Patrick Leahy,"United States Senate election in Vermont, 2004","The 2004 United States Senate election in Vermont was held on November 2, 2004. Incumbent Democratic U.S. Senator Patrick Leahy won reelection to a sixth term."
313,Patrick Leahy,"United States Senate election in Vermont, 1992","The 1992 United States Senate election in Vermont was held on November 3, 1992. Incumbent Democratic U.S. Senator Patrick Leahy won re-election to a fourth term."
314,Patrick Leahy,"United States Senate election in Vermont, 1986","The 1986 United States Senate election in Vermont was held on November 4, 1986. Incumbent Democratic U.S. Senator Patrick Leahy won reelection to a third term."
315,Cris Ericson,"Vermont gubernatorial election, 2004","The 2004 Vermont gubernatorial election took place on 2 November 2004 for the post of Governor of Vermont. Incumbent Republican Governor Jim Douglas was re-elected. Douglas defeated Peter Clavelle, the Democratic Mayor of Burlington."
316,Cris Ericson,"Vermont gubernatorial election, 2006","The 2006 Vermont gubernatorial election took place on November 7, 2006. Incumbent Republican Governor Jim Douglas won re-election to a third term, defeating Democratic nominee Scudder Parker."
317,Cris Ericson,"Vermont gubernatorial election, 2008","The 2008 Vermont gubernatorial election took place on November 4, 2008. Incumbent Republican Governor Jim Douglas won re-election to a fourth term. The gubernatorial primary took place on September 9, 2008."
318,Patty Murray,"United States Senate election in Washington, 1998","The 1998 United States Senate election in Washington was held November 3, 1998. Incumbent Democratic U.S. Senator Patty Murray won re-election to a second term."
319,Patty Murray,"United States Senate election in Washington, 2004","The 2004 United States Senate election in Washington was held on November 2, 2004. Incumbent Democrat U.S. Senator Patty Murray won re-election. "
320,Patty Murray,"United States Senate election in Washington, 1992","The 1992 United States Senate election in Washington was held on November 3, 1992. Serving one term, incumbent U.S. Senator Brock Adams was strongly supportive of his party's leadership. "
321,Chris Vance,"United States Senate election in Washington, 2016","The 2016 United States Senate election in Washington was held November 8, 2016, to elect a member of the United States Senate to represent the State of Washington. "
322,Chris Vance,"Washington elections, 2016","A general election was held in the U.S. state of Washington on November 8, 2016. A primary was held on August 2.
At the time of the filing deadline of May 20, 2016, 682 candidates have filed for 345 offices statewide."
323,Mike Luke,2014 AFL Grand Final,The 2014 AFL Grand Final was an Australian rules football game contested between Sydney Swans and the Hawthorn Football Club at the Melbourne Cricket Ground on 27 September 2014. 
324,Mike Luke,"United States Senate election in Indiana, 2018","The 2018 United States Senate election in Indiana will take place on November 6, 2018 concurrently with other elections to the United States Senate and House of Representatives and various state and local elections. Incumbent Democratic U.S. "
325,Mike Luke,2015 Houston Astros season,"The 2015 Houston Astros season was the 54th season for the Major League Baseball franchise in Houston, their 51st as the Astros, third in both the American League and AL West division, and 16th season at Minute Maid Park. "
326,Mohammad Said,1998 Arab Cup Winners' Cup,"The 1998 Arab Cup Winners' Cup was the ninth edition of the Arab Cup Winners' Cup held in Beirut, Lebanon between 19 – 30 August 1998. The teams represented Arab nations from Africa and Asia. MC Oran from Algeria won the final against Al-Jaish from Syria for consecutively the second time."
327,Mohammad Said,2002 FIFA World Cup qualification – AFC First Round,"The AFC First Round of 2002 FIFA World Cup qualification was contested between 39 AFC members.
The top country in each group at the end of the stage progressed to the second round, where the ten remaining teams will be divided into two groups of five."
328,Mohammad Said,"Results of the Malaysian general election, 2004 by parliamentary constituency","These are the election results of the 2004 Malaysian general election by parliamentary constituency. These members of parliament representing their constituency from the first sitting of 11th Malaysian Parliament to its dissolution.
"
329,Donna Rae,1987 UCI Road World Championships – Women's team time trial,"The women's team time trial of the 1987 UCI Road World Championships cycling event took place on 1 September 1987 in Villach, Austria."
330,Donna Rae,1994 Scott Tournament of Hearts,"The 1994 Scott Tournament of Hearts Canadian women's national curling championship, was played February 26 to March 5 at the Waterloo Recreational Sports Complex in Waterloo, Ontario."
331,Sam Wright,2010 AFL Rising Star,The NAB AFL Rising Star award is given annually to a stand out young player in the Australian Football League. The 2010 Ron Evans Medal was awarded to Dan Hannebery of the Sydney Swans.
332,Sam Wright,1876 Boston Red Caps season,"The 1876 Boston Red Caps season was the sixth season of the franchise. With the dissolution of the National Association, the Boston team joined the brand new National League. "
333,Uncle Mover,"United States House of Representatives elections in Washington, 2018","The 2018 United States House of Representatives elections in Washington will be held on November 6, 2018, to elect the 10 U.S. Representatives from the state of Washington, one from each of the state's 10 congressional districts. "
334,Chuck Jackson,UFC 71: Liddell vs. Jackson,"UFC 71: Liddell vs. Jackson was a mixed martial arts event held by the Ultimate Fighting Championship. The event took place on Saturday, May 26, 2007 at the MGM Grand Garden Arena in Las Vegas, Nevada."
335,Chuck Jackson,1978 New England Patriots season,"The 1978 New England Patriots season was the team's 19th, and 9th in the National Football League. The Patriots finished the season with a record of eleven wins and five losses, and finished tied for first in the AFC East, winning their first division title in franchise history over Miami by a tiebreaker.
"
336,Chuck Jackson,1981 Minnesota Twins season,"The 1981 Minnesota Twins finished a combined 41-68, seventh in the American League West. In the strike split season, the Twins were 17-39, seventh place in the first half and 24-29, fourth place in the second half. 469,090 fans attended Twins games, the lowest total in the American League. "
337,Russ Feingold,"United States Senate election in Wisconsin, 1998","The 1998 United States Senate election in Wisconsin was held November 3, 1998. Incumbent Democratic U.S. Senator Russ Feingold won re-election to a second term."
